objective,seed,epoch,sample_type,mean_grad_norm,mean_loss
kl,0,0,clean,4.885626520283539,2.0737826824188232
kl,0,0,noisy,5.034990321378987,2.4324545860290527
kl,0,1,clean,4.095330780631115,1.9508366584777832
kl,0,1,noisy,4.313502168657859,2.5416274070739746
kl,0,2,clean,3.0825936695012337,1.827383279800415
kl,0,2,noisy,3.3489734194919696,2.5532126426696777
kl,0,3,clean,2.6058214085511713,1.749855637550354
kl,0,3,noisy,2.8359068863811987,2.6046082973480225
kl,0,4,clean,2.2531862764375314,1.768157958984375
kl,0,4,noisy,2.4697218565715207,2.54610276222229
kl,0,5,clean,2.109451556707046,1.667311429977417
kl,0,5,noisy,2.2987185426733685,2.5140633583068848
kl,0,6,clean,2.0611875974164944,1.6569440364837646
kl,0,6,noisy,2.39849685142877,2.6964967250823975
kl,0,7,clean,1.9871939868204038,1.657031536102295
kl,0,7,noisy,2.346339056816868,2.7118356227874756
kl,0,8,clean,1.8968263725538215,1.6151833534240723
kl,0,8,noisy,2.1780827609520177,2.671107769012451
kl,0,9,clean,1.8388117213528703,1.647484540939331
kl,0,9,noisy,1.939716491859253,2.6161484718322754
kl,0,10,clean,1.8178444248165708,1.5206537246704102
kl,0,10,noisy,2.101235525607797,2.737844467163086
kl,0,11,clean,1.6547554966282125,1.5274890661239624
kl,0,11,noisy,1.7948883358940553,2.614969491958618
kl,0,12,clean,1.6083357781403456,1.495096206665039
kl,0,12,noisy,1.9190318397999424,2.6615819931030273
kl,0,13,clean,1.5184569992291668,1.4129936695098877
kl,0,13,noisy,2.038505818886574,2.7678160667419434
kl,0,14,clean,1.5553323038495928,1.352962851524353
kl,0,14,noisy,1.8974694089531596,2.733217239379883
kl,0,15,clean,1.4788709826783215,1.3941094875335693
kl,0,15,noisy,1.7312403268555518,2.6524744033813477
kl,0,16,clean,1.3946013367253833,1.373478889465332
kl,0,16,noisy,1.8155983735483239,2.740001916885376
kl,0,17,clean,1.368089789850894,1.3528685569763184
kl,0,17,noisy,1.728503210615019,2.67569637298584
kl,0,18,clean,1.319026110100101,1.3008713722229004
kl,0,18,noisy,1.5522881651386586,2.6562604904174805
kl,0,19,clean,1.3337277847118751,1.335134744644165
kl,0,19,noisy,1.612757308251256,2.6620559692382812
kl,0,20,clean,1.4134262081948934,1.3004876375198364
kl,0,20,noisy,1.7566054670629063,2.7323014736175537
kl,0,21,clean,1.443085353083016,1.350893497467041
kl,0,21,noisy,1.6329547604703591,2.6898021697998047
kl,0,22,clean,1.392247804964272,1.2233399152755737
kl,0,22,noisy,1.6256389196207572,2.7046029567718506
kl,0,23,clean,1.5267534195059254,1.3132357597351074
kl,0,23,noisy,1.599595542729669,2.6523666381835938
kl,0,24,clean,1.3103413220210844,1.2354037761688232
kl,0,24,noisy,1.5346547650010265,2.624647855758667
kl,0,25,clean,1.3368842184934275,1.1721326112747192
kl,0,25,noisy,1.7701630636198264,2.7061288356781006
kl,0,26,clean,1.302324081071646,1.1493988037109375
kl,0,26,noisy,1.706857267725813,2.6798391342163086
kl,0,27,clean,1.3702193960818647,1.2344152927398682
kl,0,27,noisy,1.6591174989890456,2.6567611694335938
kl,0,28,clean,1.3018050678523319,1.1531867980957031
kl,0,28,noisy,1.643642670919639,2.6255738735198975
kl,0,29,clean,1.36687876363748,1.1472280025482178
kl,0,29,noisy,1.7054052619027122,2.6706504821777344
kl,0,30,clean,1.3060501395140425,1.1356496810913086
kl,0,30,noisy,1.774275717986576,2.668398857116699
kl,0,31,clean,1.32516827825105,1.130291223526001
kl,0,31,noisy,1.6785301526102703,2.6057655811309814
kl,0,32,clean,1.3153501470986093,1.0785181522369385
kl,0,32,noisy,1.864536438225615,2.718444347381592
kl,0,33,clean,1.3697988610879734,1.1110167503356934
kl,0,33,noisy,1.773843672515397,2.632561683654785
kl,0,34,clean,1.4125214118639966,1.0928173065185547
kl,0,34,noisy,1.772178043350199,2.62931489944458
kl,0,35,clean,1.3480719157615701,1.0973236560821533
kl,0,35,noisy,1.8569839035317057,2.696131467819214
kl,0,36,clean,1.3626661144478118,1.0558130741119385
kl,0,36,noisy,1.8153051228618067,2.6022562980651855
kl,0,37,clean,1.3514614891443861,1.0336462259292603
kl,0,37,noisy,1.8739979153317023,2.5911083221435547
kl,0,38,clean,1.4798219149985945,1.0736265182495117
kl,0,38,noisy,1.9576952118051314,2.6229939460754395
kl,0,39,clean,1.4218845844163603,1.0354340076446533
kl,0,39,noisy,1.8839335701001965,2.544672966003418
kl,0,40,clean,1.4857344020087009,1.0541956424713135
kl,0,40,noisy,1.9798230889708257,2.5388550758361816
kl,0,41,clean,1.4632185776771376,1.0123157501220703
kl,0,41,noisy,2.0078811876653115,2.585059881210327
kl,0,42,clean,1.4522860813334828,0.9861010313034058
kl,0,42,noisy,2.0247024724001292,2.5463502407073975
kl,0,43,clean,1.4710281674833423,0.9991085529327393
kl,0,43,noisy,2.122862091781681,2.5929555892944336
kl,0,44,clean,1.4783687724685783,0.9996627569198608
