experiment,dataset,corruption_type,stress_level,objective,baseline,eval_trustworthiness_n,eval_trustworthiness_mean_diff,eval_trustworthiness_wilcoxon_stat,eval_trustworthiness_wilcoxon_p,eval_trustworthiness_cliffs_delta,eval_trustworthiness_positive_seed_count,eval_trustworthiness_negative_seed_count,eval_trustworthiness_tie_seed_count,eval_trustworthiness_direction_consistency,eval_neighborhood_recall_n,eval_neighborhood_recall_mean_diff,eval_neighborhood_recall_wilcoxon_stat,eval_neighborhood_recall_wilcoxon_p,eval_neighborhood_recall_cliffs_delta,eval_neighborhood_recall_positive_seed_count,eval_neighborhood_recall_negative_seed_count,eval_neighborhood_recall_tie_seed_count,eval_neighborhood_recall_direction_consistency,eval_silhouette_n,eval_silhouette_mean_diff,eval_silhouette_wilcoxon_stat,eval_silhouette_wilcoxon_p,eval_silhouette_cliffs_delta,eval_silhouette_positive_seed_count,eval_silhouette_negative_seed_count,eval_silhouette_tie_seed_count,eval_silhouette_direction_consistency,eval_knn_accuracy_n,eval_knn_accuracy_mean_diff,eval_knn_accuracy_wilcoxon_stat,eval_knn_accuracy_wilcoxon_p,eval_knn_accuracy_cliffs_delta,eval_knn_accuracy_positive_seed_count,eval_knn_accuracy_negative_seed_count,eval_knn_accuracy_tie_seed_count,eval_knn_accuracy_direction_consistency,eval_local_label_purity_n,eval_local_label_purity_mean_diff,eval_local_label_purity_wilcoxon_stat,eval_local_label_purity_wilcoxon_p,eval_local_label_purity_cliffs_delta,eval_local_label_purity_positive_seed_count,eval_local_label_purity_negative_seed_count,eval_local_label_purity_tie_seed_count,eval_local_label_purity_direction_consistency,eval_corrupted_edge_preservation_n,eval_corrupted_edge_preservation_mean_diff,eval_corrupted_edge_preservation_wilcoxon_stat,eval_corrupted_edge_preservation_wilcoxon_p,eval_corrupted_edge_preservation_cliffs_delta,eval_corrupted_edge_preservation_positive_seed_count,eval_corrupted_edge_preservation_negative_seed_count,eval_corrupted_edge_preservation_tie_seed_count,eval_corrupted_edge_preservation_direction_consistency,eval_corrupted_edge_q_mass_n,eval_corrupted_edge_q_mass_mean_diff,eval_corrupted_edge_q_mass_wilcoxon_stat,eval_corrupted_edge_q_mass_wilcoxon_p,eval_corrupted_edge_q_mass_cliffs_delta,eval_corrupted_edge_q_mass_positive_seed_count,eval_corrupted_edge_q_mass_negative_seed_count,eval_corrupted_edge_q_mass_tie_seed_count,eval_corrupted_edge_q_mass_direction_consistency
noisy_affinity,blobs,block,0.0,fisher_rao,kl,10,5.331942598859607e-05,25.0,0.828125,-0.1,4,6,0,0.6,10,0.0013500000000000179,18.0,0.349609375,-0.08,5,5,0,0.5,10,0.0005983889102935791,0.0,0.001953125,0.5,10,0,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0
noisy_affinity,blobs,block,0.0,fr_kl_hybrid,kl,5,8.130081300739e-06,0.0,0.0625,1.0,5,0,0,1.0,5,0.0008000000000000562,0.0,0.0625,1.0,5,0,0,1.0,5,0.0004310011863708496,0.0,0.0625,1.0,5,0,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.0,hellinger,kl,5,-4.0108401084038015e-05,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0007000000000000006,0.0,0.0625,-1.0,0,5,0,1.0,5,0.0006470084190368652,0.0,0.0625,1.0,5,0,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.0,jensen_shannon,kl,5,-7.58807588077115e-06,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0011999999999999567,0.0,0.0625,-1.0,0,5,0,1.0,5,0.0006906032562255859,0.0,0.0625,1.0,5,0,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.0,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.0,kl_smoothed,kl,5,-3.794037940374473e-06,0.0,1.0,-0.2,0,1,4,0.8,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,2.7799606323242186e-05,0.0,0.0625,1.0,5,0,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.025,fisher_rao,kl,10,0.004162704502264703,0.0,0.001953125,0.44,10,0,0,1.0,10,0.012916666666666642,0.0,0.001953125,0.34,10,0,0,1.0,10,0.059592258930206296,0.0,0.001953125,1.0,10,0,0,1.0,10,0.003888888888888886,0.0,0.25,0.3,3,0,7,0.7,10,0.007899999999999985,0.0,0.00390625,0.9,9,0,1,0.9,10,-0.06833333333333333,0.0,0.00390625,-0.9,0,9,1,0.9,10,-0.00042775373440235854,0.0,0.001953125,-0.46,0,10,0,1.0
noisy_affinity,blobs,block,0.025,fr_kl_hybrid,kl,5,0.00175338753387535,0.0,0.0625,0.68,5,0,0,1.0,5,0.005499999999999994,1.0,0.125,0.64,4,1,0,0.8,5,0.036879122257232666,0.0,0.0625,1.0,5,0,0,1.0,5,0.0033333333333333435,0.0,1.0,0.2,1,0,4,0.8,5,0.005800000000000027,0.0,0.125,0.6,4,0,1,0.8,5,-0.06999999999999999,0.0,0.125,-0.64,0,4,1,0.8,5,-0.0002722801640629768,0.0,0.0625,-0.68,0,5,0,1.0
noisy_affinity,blobs,block,0.025,hellinger,kl,5,0.00326991869918698,0.0,0.0625,0.76,5,0,0,1.0,5,0.012999999999999966,0.0,0.0625,0.68,5,0,0,1.0,5,0.05604102611541748,0.0,0.0625,1.0,5,0,0,1.0,5,0.0033333333333333435,0.0,1.0,0.2,1,0,4,0.8,5,0.007200000000000007,0.0,0.125,0.8,4,0,1,0.8,5,-0.09,0.0,0.125,-0.8,0,4,1,0.8,5,-0.0004488209611736238,0.0,0.0625,-0.68,0,5,0,1.0
noisy_affinity,blobs,block,0.025,jensen_shannon,kl,5,0.004194579945799459,0.0,0.0625,1.0,5,0,0,1.0,5,0.02310000000000003,0.0,0.0625,1.0,5,0,0,1.0,5,0.06332823038101196,0.0,0.0625,1.0,5,0,0,1.0,5,0.0033333333333333435,0.0,1.0,0.2,1,0,4,0.8,5,0.007200000000000007,0.0,0.125,0.8,4,0,1,0.8,5,-0.09,0.0,0.125,-0.8,0,4,1,0.8,5,-0.000534326140768826,0.0,0.0625,-0.84,0,5,0,1.0
