noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,kl,0,0.7085,0.033068601056933426,0.40146076679229736,0.828046441078186
clean,gce,0,0.4875,0.29536762177944187,0.7762437462806702,2.176435708999634
clean,mae,0,0.2015,0.7841378664374352,1.571791410446167,12.689127922058105
clean,sce,0,0.69,0.23187830770015722,0.5290127992630005,1.8443673849105835
clean,hellinger,0,0.4625,0.16500561790168286,0.7199410200119019,1.6757432222366333
clean,fisher_rao,0,0.7715,0.09416018930077558,0.3382534682750702,0.8074852228164673
sym_20,kl,0,0.6425,0.14199711464345458,0.5068452954292297,1.1189998388290405
sym_20,gce,0,0.4335,0.27603750583529474,0.8126795887947083,2.1781201362609863
sym_20,mae,0,0.257,0.7335224765986204,1.4738729000091553,13.101262092590332
sym_20,sce,0,0.6675,0.23668404293060302,0.5427982211112976,1.7799479961395264
sym_20,hellinger,0,0.389,0.12167537317425015,0.7494755387306213,1.709949016571045
sym_20,fisher_rao,0,0.7495,0.0601578439101577,0.35766053199768066,0.7861291766166687
sym_40,kl,0,0.5525,0.23028496071696283,0.6550325155258179,1.5021928548812866
sym_40,gce,0,0.373,0.20845259441435338,0.8134590983390808,2.040257453918457
sym_40,mae,0,0.221,0.7563319050371646,1.523801565170288,11.728920936584473
sym_40,sce,0,0.6225,0.24167626954615118,0.6087005138397217,1.7504023313522339
sym_40,hellinger,0,0.305,0.027919198974967002,0.8006267547607422,1.8900479078292847
sym_40,fisher_rao,0,0.681,0.034681935742497436,0.4377456307411194,0.9549095630645752
sym_60,kl,0,0.4345,0.2399693650230765,0.7943279147148132,1.8934673070907593
sym_60,gce,0,0.241,0.0539244337156415,0.8430977463722229,2.0643701553344727
sym_60,mae,0,0.215,0.6622273669093847,1.4059374332427979,9.370624542236328
sym_60,sce,0,0.5365,0.2430206547677517,0.694869339466095,1.8019983768463135
sym_60,hellinger,0,0.181,0.041923432618379594,0.8775392770767212,2.1987509727478027
sym_60,fisher_rao,0,0.5405,0.16439392452687027,0.6364831328392029,1.4654850959777832
asym_40,kl,0,0.474,0.11192282983660697,0.6960133910179138,1.4908487796783447
asym_40,gce,0,0.3505,0.18727546539157627,0.8368532061576843,2.17291259765625
asym_40,mae,0,0.199,0.7285940125063062,1.4953510761260986,10.858631134033203
asym_40,sce,0,0.4995,0.31475001272559167,0.7828776836395264,2.346250534057617
asym_40,hellinger,0,0.2985,0.060296999976038934,0.8085901737213135,1.9030697345733643
asym_40,fisher_rao,0,0.5555,0.029024914905428877,0.6139797568321228,1.3576089143753052
clean,kl,1,0.7365,0.011980606287717818,0.36363503336906433,0.7589871883392334
clean,gce,1,0.5305,0.26393771456182,0.7054725289344788,1.9781798124313354
clean,mae,1,0.249,0.7493818344175815,1.4998723268508911,13.75741958618164
clean,sce,1,0.7,0.22433487443625924,0.5088914036750793,1.8545169830322266
clean,hellinger,1,0.4875,0.16276405318081377,0.6856257319450378,1.6208336353302002
clean,fisher_rao,1,0.7905,0.08734423856437207,0.31421324610710144,0.7510820031166077
sym_20,kl,1,0.6605,0.1580180339664221,0.4917393922805786,1.0914926528930664
sym_20,gce,1,0.4905,0.2482308950573206,0.7396788001060486,1.9320350885391235
sym_20,mae,1,0.2085,0.7865596413910388,1.5761975049972534,14.270482063293457
sym_20,sce,1,0.679,0.23023567163944245,0.5294814705848694,1.7734240293502808
sym_20,hellinger,1,0.45,0.10942741444706916,0.7028059363365173,1.5878106355667114
sym_20,fisher_rao,1,0.754,0.06723798586428165,0.3428642749786377,0.7486974596977234
sym_40,kl,1,0.556,0.22344701111316678,0.6405721306800842,1.4685678482055664
sym_40,gce,1,0.434,0.2149075118601322,0.7610916495323181,1.848762035369873
sym_40,mae,1,0.3335,0.6051670482605696,1.2546300888061523,9.140457153320312
sym_40,sce,1,0.64,0.23048654262721535,0.5711851716041565,1.6479084491729736
sym_40,hellinger,1,0.385,0.024054314881563173,0.7413156628608704,1.7059680223464966
sym_40,fisher_rao,1,0.6935,0.024966399818658842,0.41946810483932495,0.9238817095756531
sym_60,kl,1,0.4545,0.254260304749012,0.7856649160385132,1.8661987781524658
sym_60,gce,1,0.328,0.03352182630449532,0.8011666536331177,1.9311614036560059
sym_60,mae,1,0.2305,0.6334863810390234,1.3437954187393188,7.78361177444458
sym_60,sce,1,0.5195,0.26165358345210554,0.7003947496414185,1.7817689180374146
sym_60,hellinger,1,0.2595,0.11222311027348042,0.8663046956062317,2.1454710960388184
sym_60,fisher_rao,1,0.5325,0.14455429396033284,0.6327794194221497,1.463821530342102
asym_40,kl,1,0.533,0.15889880479872223,0.6596375703811646,1.421199083328247
asym_40,gce,1,0.3925,0.16281990015506742,0.7790132164955139,2.0042178630828857
asym_40,mae,1,0.2285,0.7311037043631077,1.4884592294692993,11.441335678100586
asym_40,sce,1,0.5475,0.2904758706092834,0.7143588662147522,2.0870282649993896
asym_40,hellinger,1,0.366,0.01774682465195657,0.7686170935630798,1.8211417198181152
asym_40,fisher_rao,1,0.633,0.06132723008096219,0.53753262758255,1.204593539237976
clean,kl,2,0.73,0.021021769650280457,0.3769393265247345,0.7853491306304932
clean,gce,2,0.506,0.26515879192948344,0.7292841672897339,1.9705605506896973
