noise_type,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
aggre,kl,0,0.811,0.010129542782902732,0.26382919403880034,0.5460047721862793
aggre,gce,0,0.8075,0.1052033530771732,0.30776780694200956,0.7659968137741089
aggre,mae,0,0.7105,0.21576473776996138,0.49465820473285393,1.9947412014007568
aggre,sce,0,0.783,0.1396987885832786,0.3460747797441237,0.9550409913063049
aggre,hellinger,0,0.81,0.08006704372167589,0.2802459411221463,0.6299924254417419
aggre,fisher_rao,0,0.8205,0.060344215050339725,0.2659995628600415,0.5816998481750488
random1,kl,0,0.79,0.06142895621061324,0.30401019091344744,0.6401221752166748
random1,gce,0,0.7865,0.11704903905093669,0.3269000059390704,0.7961416840553284
random1,mae,0,0.657,0.2770498459637165,0.6092150757309592,2.886833429336548
random1,sce,0,0.7635,0.15207276943325998,0.3726327920865824,1.0246033668518066
random1,hellinger,0,0.7965,0.07836374169588087,0.3035991531597464,0.6575769782066345
random1,fisher_rao,0,0.802,0.05259377941489217,0.29112789313719495,0.6277938485145569
worse,kl,0,0.696,0.137721767693758,0.4390236162975173,0.9390842318534851
worse,gce,0,0.7135,0.1360279729440808,0.4326563144554007,1.0046603679656982
worse,mae,0,0.5415,0.3533380337655544,0.8408112349283698,4.574071407318115
worse,sce,0,0.6995,0.18508298544585708,0.4755056281201265,1.266114592552185
worse,hellinger,0,0.7095,0.06864165569096803,0.40234228697829594,0.8342105150222778
worse,fisher_rao,0,0.7135,0.036041368216276154,0.38939998227255385,0.7978670597076416
aggre,kl,1,0.8125,0.02075165577232841,0.25866852471190954,0.5405343174934387
aggre,gce,1,0.809,0.10616324156522752,0.29746584310154,0.7485753297805786
aggre,mae,1,0.7455,0.18938468208909032,0.43579231492308396,1.7189340591430664
aggre,sce,1,0.7955,0.1309393093287945,0.3278769684744946,0.9225465059280396
aggre,hellinger,1,0.808,0.08081188270449638,0.27510555255679414,0.6214883923530579
aggre,fisher_rao,1,0.8165,0.0648202511295676,0.27033744762579726,0.596844494342804
random1,kl,1,0.8,0.07221219044923784,0.2943340921481929,0.6289448142051697
random1,gce,1,0.8,0.10246565558016299,0.3080955651385913,0.7514099478721619
random1,mae,1,0.691,0.24532637134194374,0.5527384362007653,2.3400492668151855
random1,sce,1,0.795,0.12503966139256956,0.3316994140095503,0.9192723631858826
random1,hellinger,1,0.808,0.05678629131615162,0.2805459774613803,0.6250542998313904
random1,fisher_rao,1,0.81,0.04704312244057652,0.2720250675207814,0.5845857262611389
worse,kl,1,0.7165,0.16096562979370355,0.4195213402966957,0.911242663860321
worse,gce,1,0.752,0.0993465000092983,0.371884724927461,0.8732587695121765
worse,mae,1,0.5545,0.34820619121193885,0.8077366786343512,4.350027084350586
worse,sce,1,0.7315,0.15009698477387426,0.4171183048320492,1.0686848163604736
worse,hellinger,1,0.751,0.030612689539790176,0.351011178247998,0.740850567817688
worse,fisher_rao,1,0.748,0.016464890852570514,0.3537030890348375,0.7418919801712036
aggre,kl,2,0.8115,0.017640760950744145,0.26442852925906096,0.5463582873344421
aggre,gce,2,0.8085,0.10785755315423011,0.3042766979509611,0.7953776717185974
aggre,mae,2,0.673,0.26323518894612785,0.585731468605956,2.5721027851104736
aggre,sce,2,0.795,0.13004044108092783,0.32918330932816786,0.935208261013031
aggre,hellinger,2,0.8175,0.0766435788869858,0.2739596220953472,0.6314267516136169
aggre,fisher_rao,2,0.8195,0.06895693555474283,0.26718551478222374,0.585353672504425
random1,kl,2,0.7985,0.06377451084554196,0.286229323575114,0.6086466908454895
random1,gce,2,0.7925,0.11048161345720292,0.31893470515392675,0.7993332743644714
random1,mae,2,0.6675,0.2635538905486464,0.5901379212256344,2.75484037399292
random1,sce,2,0.784,0.13388270077109335,0.34602615501409373,0.9569928050041199
random1,hellinger,2,0.8025,0.07074605029821399,0.28798515060109087,0.6334617733955383
random1,fisher_rao,2,0.807,0.05537677471339707,0.278620341881748,0.5996204614639282
worse,kl,2,0.7355,0.1743138374015689,0.41240669476030406,0.8938668370246887
worse,gce,2,0.7355,0.12661541929841044,0.39366971026469394,0.9138504862785339
worse,mae,2,0.544,0.3524631879627705,0.830666468823284,4.454999923706055
worse,sce,2,0.741,0.1500182312875986,0.41341914055971063,1.0630344152450562
worse,hellinger,2,0.7385,0.04688531485199927,0.35426241167892275,0.7542842030525208
worse,fisher_rao,2,0.7465,0.015083628945052626,0.35651456564127476,0.7562606930732727
aggre,kl,3,0.817,0.01829977172613145,0.26636596899577286,0.5613222718238831
aggre,gce,3,0.803,0.11216855086386204,0.3035057144409055,0.7649895548820496
aggre,mae,3,0.6735,0.2633595270365477,0.5781949398410093,2.5941379070281982
aggre,sce,3,0.7955,0.13038431315124033,0.3331528387711878,0.9451023936271667
aggre,hellinger,3,0.8115,0.08227329370379446,0.27882854954769404,0.6351696848869324
aggre,fisher_rao,3,0.821,0.0653191994577646,0.2684341326998739,0.5965962409973145
random1,kl,3,0.7925,0.06289167259633541,0.3011153049600287,0.6397765278816223
random1,gce,3,0.7855,0.12258980202674861,0.32985846713957084,0.815125584602356
random1,mae,3,0.644,0.2822056954205036,0.6223946672554138,2.7217142581939697
random1,sce,3,0.788,0.1301092233583331,0.34690171444542023,0.9785429835319519
random1,hellinger,3,0.802,0.07199041071534154,0.29238069993392335,0.6478674411773682
random1,fisher_rao,3,0.8035,0.0537182989567518,0.28316268926929467,0.6116406917572021
worse,kl,3,0.734,0.17329617905616762,0.41711340859998464,0.9089279770851135
worse,gce,3,0.734,0.12467273619771008,0.3875807499148539,0.9076823592185974
worse,mae,3,0.5525,0.3524131671190262,0.8151377165044433,4.4742255210876465
worse,sce,3,0.717,0.1749490413367748,0.4561527721338483,1.206575632095337
worse,hellinger,3,0.739,0.046923735424876184,0.36133019058132937,0.7587503790855408
worse,fisher_rao,3,0.739,0.019563155457377426,0.36828592012724287,0.7638528943061829
aggre,kl,4,0.824,0.010097639530897146,0.25118912463882065,0.5339431762695312
aggre,gce,4,0.816,0.09885075494647026,0.28802351872087667,0.7107972502708435
aggre,mae,4,0.675,0.26025712735950945,0.5682093369699479,2.4920639991760254
aggre,sce,4,0.803,0.12605457124114033,0.31636088725031586,0.8707838654518127
aggre,hellinger,4,0.8205,0.07447180923819541,0.26372993903243125,0.597633421421051
aggre,fisher_rao,4,0.8295,0.058656652227044116,0.2557846675937719,0.5705998539924622
random1,kl,4,0.7945,0.0533801831975579,0.2905498306888164,0.6124584078788757
random1,gce,4,0.7995,0.10619210401177404,0.310710880675449,0.762036144733429
random1,mae,4,0.6655,0.27139170950651165,0.5878209129482627,2.7058329582214355
random1,sce,4,0.7845,0.13277624830603602,0.3465525897944245,0.9392821788787842
random1,hellinger,4,0.808,0.06387483413517474,0.2829654348180376,0.611411988735199
random1,fisher_rao,4,0.821,0.048665884077549,0.26806027435443847,0.5756071209907532
worse,kl,4,0.735,0.16983744119107724,0.4115607802200185,0.8893115520477295
